LakeName,Year,ResidentialCount,AgriculturalCount,CommercialCount,IndustrialCount,PublicCount,AvgSeasonalLakeGrade,AvgSecchiDepth,AvgPhosphorus,ResidentialProportion,AgriculturalProportion,CommercialProportion,IndustrialProportion,PublicProportion,TotalCount
Dutch Lake,2009,1852,22,51,2,28,#N/A,#N/A,#N/A,0.947314578,0.011253197,0.026086957,0.001023018,0.014322251,1955
Eagle Lake,2009,128,226,0,2,15,0,1.155,0.13715,0.345013477,0.60916442,0,0.005390836,0.040431267,371
Eagle Point Lake,2009,80,12,0,0,8,#N/A,0.631,0.1385,0.8,0.12,0,0,0.08,100
Earley Lake,2009,4098,0,236,23,0,3,2.055555556,0.0408,0.940555428,0,0.05416571,0.005278862,0,4357
East Lake,2009,18780,454,400,64,12,#N/A,#N/A,#N/A,0.95281583,0.023033993,0.020294267,0.003247083,0.000608828,19710
East Twin Lake,2009,947,361,6,32,68,#N/A,4.066666667,0.161166667,0.669731259,0.255304102,0.004243281,0.022630835,0.048090523,1414
Echo Lake,2009,1122,0,0,0,33,#N/A,#N/A,#N/A,0.971428571,0,0,0,0.028571429,1155
Edina Lake,2009,3611,0,9500,9308,76,#N/A,#N/A,#N/A,0.160524561,0,0.42231607,0.41378084,0.003378529,22495
Edith Lake,2009,491,44,0,0,118,3,2.071294118,0.093,0.751914242,0.067381317,0,0,0.180704441,653
Egg Lake,2009,5223,110,8,20,281,#N/A,#N/A,#N/A,0.925735555,0.019496632,0.001417937,0.003544842,0.049805034,5642
Fahlstrom Pond,2009,185,70,0,0,15,1,0.825416667,0.213416667,0.685185185,0.259259259,0,0,0.055555556,270
Farquar Lake,2009,6404,0,4,2,0,0,0.517857143,0.212214286,0.999063963,0,0.000624025,0.000312012,0,6410
Fireman's Clayhole Lake,2009,1302,59,0,6,213,3,3.342857143,0.029846154,0.824050633,0.037341772,0,0.003797468,0.134810127,1580
Fish Lake,2009,15118,46,524,131,34,2,1.5734,0.053,0.953636536,0.002901659,0.033053681,0.00826342,0.002144704,15853
Forest Lake,2009,3034,8,0,4,349,3,2.221212121,0.023928571,0.893667158,0.002356406,0,0.001178203,0.102798233,3395
French Lake,2009,741,112,83,151,14,#N/A,#N/A,#N/A,0.673024523,0.101725704,0.075386013,0.137148047,0.012715713,1101
Friedrich's Pond,2009,126,12,0,0,12,#N/A,0.305,0.305,0.84,0.08,0,0,0.08,150
Gables Lake,2009,7463,446,0,0,319,#N/A,#N/A,#N/A,0.907024793,0.054205153,0,0,0.038770053,8228
Gaystock Lake,2009,1382,162,0,2,44,#N/A,#N/A,#N/A,0.86918239,0.101886792,0,0.001257862,0.027672956,1590
George Lake,2009,697,14,18,0,101,3,3.13125,0.024,0.839759036,0.01686747,0.021686747,0,0.121686747,830
George Watch Lake,2009,1174,109,150,20,184,1,0.538,0.11,0.717165547,0.066585217,0.091631032,0.012217471,0.112400733,1637
German Lake,2009,270,54,0,0,17,#N/A,1.480714286,0,0.791788856,0.158357771,0,0,0.049853372,341
Gervais Lake,2009,2602,1,0,2,177,#N/A,#N/A,#N/A,0.935298347,0.000359454,0,0.000718907,0.063623293,2782
Glen Lake,2009,787,0,64,100,18,#N/A,#N/A,#N/A,0.812177503,0,0.066047472,0.103199174,0.018575851,969
Goetschel Lake,2009,486,45,0,0,31,2,1.197285714,0.036857143,0.864768683,0.080071174,0,0,0.055160142,562
Goggins Lake,2009,143,53,0,0,6,1,1.088571429,0.095888889,0.707920792,0.262376238,0,0,0.02970297,202
Golden Lake,2009,4622,0,172,221,375,2,2.069230769,0.048461538,0.857513915,0,0.031910946,0.041001855,0.069573284,5390
Goose Lake,2009,1296,272,0,0,201,0,0.586527778,0.191542857,0.732617298,0.153759186,0,0,0.113623516,1769
Grace Lake,2009,4572,9,0,0,299,1,0.8,0.114727273,0.936885246,0.001844262,0,0,0.061270492,4880
Grass Lake,2009,14221,0,2761,1807,122,#N/A,#N/A,#N/A,0.751996193,0,0.145999683,0.095552853,0.006451272,18911
Hafften Lake,2009,1214,140,14,4,28,#N/A,#N/A,#N/A,0.867142857,0.1,0.01,0.002857143,0.02,1400
Halfbreed Lake,2009,844,27,0,0,48,4,4.922222222,0.014777778,0.918389554,0.029379761,0,0,0.052230686,919
Ham Lake,2009,9276,564,820,234,602,#N/A,#N/A,#N/A,0.806889353,0.049060543,0.071329158,0.020354906,0.05236604,11496
Harriet Lake,2009,10974,0,779,34,22,#N/A,#N/A,#N/A,0.929291219,0,0.065966636,0.00287916,0.001862986,11809
Hart Lake,2009,20489,0,3051,1042,343,#N/A,#N/A,#N/A,0.822026078,0,0.122407222,0.041805416,0.013761284,24925
Harvey Lake,2009,7880,0,234,20,108,#N/A,#N/A,#N/A,0.956078622,0,0.028391167,0.002426595,0.013103616,8242
Haughey Lake,2009,345,67,8,4,18,#N/A,#N/A,#N/A,0.780542986,0.15158371,0.018099548,0.009049774,0.040723982,442
Hay Lake,2009,287,51,0,0,61,2,1.763571429,0.059142857,0.719298246,0.127819549,0,0,0.152882206,399
Hazeltine Lake,2009,1851,27,0,81,150,0,0.289285714,0.286071429,0.877667141,0.012802276,0,0.038406828,0.071123755,2109
Heims Lake,2009,395,44,4,0,57,2,0.51,0.0414,0.79,0.088,0.008,0,0.114,500
Henry Lake,2009,1736,177,8,4,34,0,0.442857143,0.245,0.886166411,0.090352221,0.004083716,0.002041858,0.017355794,1959
Hidden Lake,2009,1778,0,128,75,35,#N/A,#N/A,#N/A,0.881944444,0,0.063492063,0.037202381,0.017361111,2016
Highland Lake,2009,1718,0,12,0,74,#N/A,#N/A,#N/A,0.95232816,0,0.006651885,0,0.041019956,1804
Holland Lake,2009,545,0,20,0,0,#N/A,#N/A,#N/A,0.96460177,0,0.03539823,0,0,565
Hornbean Lake,2009,1494,9,102,41,0,#N/A,2,0.03825,0.907654921,0.005467801,0.061968408,0.02490887,0,1646
Horseshoe Lake,2009,1430,0,2,0,0,2,1.666785714,0.049214286,0.998603352,0,0.001396648,0,0,1432
Hydes Lake,2009,76,53,0,0,8,1,1.92,0.189071429,0.554744526,0.386861314,0,0,0.058394161,137
Independence Lake,2009,1982,50,170,101,67,#N/A,#N/A,#N/A,0.83628692,0.021097046,0.071729958,0.042616034,0.028270042,2370
Isabelle Lake,2009,8201,804,468,102,77,#N/A,#N/A,#N/A,0.849668462,0.083298798,0.04848736,0.010567758,0.007977621,9652
Island Lake,2009,383,73,50,0,131,2,1.176923077,0.027071429,0.601255887,0.114599686,0.078492936,0,0.205651491,637
Jackson WMA,2009,1217,6,0,0,71,#N/A,#N/A,#N/A,0.94049459,0.004636785,0,0,0.054868624,1294
Jane Lake,2009,633,16,0,0,22,4,4.518181818,0.013636364,0.943368107,0.023845007,0,0,0.032786885,671
Jellums Lake,2009,88,8,0,0,5,3,2.939285714,0.048857143,0.871287129,0.079207921,0,0,0.04950495,101
Johanna Lake,2009,1204,0,0,71,62,#N/A,#N/A,#N/A,0.90052356,0,0,0.053103964,0.046372476,1337
Jonathan Lake,2009,210,2,0,0,37,0,0.385714286,0.182785714,0.843373494,0.008032129,0,0,0.148594378,249
Josephine Lake,2009,4641,0,0,0,207,#N/A,#N/A,#N/A,0.95730198,0,0,0,0.04269802,4848
Jubert Lake,2009,651,147,28,0,8,#N/A,#N/A,#N/A,0.78057554,0.176258993,0.033573141,0,0.009592326,834
July Lake,2009,302,34,0,0,6,#N/A,0.8838,0.1014,0.883040936,0.099415205,0,0,0.01754386,342
Karth Lake,2009,3017,0,0,25,106,2,0.967857143,0.062071429,0.958386277,0,0,0.00794155,0.033672173,3148
Keller Lake,2009,2304,0,20,0,0,1,0.752222222,0.089,0.991394148,0,0.008605852,0,0,2324
Kingsley Lake,2009,326,0,34,0,0,4,2.3,0.016571429,0.905555556,0,0.094444444,0,0,360
Kismet Lake,2009,122,40,0,0,7,2,1.034142857,0.031285714,0.721893491,0.236686391,0,0,0.041420118,169
Klawitter Pond,2009,461,18,0,0,10,1,0.619285714,0.150428571,0.942740286,0.036809816,0,0,0.020449898,489
Kohlman Lake,2009,4215,6,0,93,283,#N/A,#N/A,#N/A,0.916902328,0.001305199,0,0.020230585,0.061561888,4597
Kramer Pond,2009,106,45,0,0,70,0,0.359142857,0.661,0.479638009,0.20361991,0,0,0.316742081,221
La Lake,2009,9300,123,0,96,675,2,0.9625,0.111916667,0.912301354,0.012065921,0,0.009417304,0.066215421,10194
Lac Lavon Lake,2009,4966,8,19,0,0,4,3.45,0.014571429,0.994592429,0.001602243,0.003805327,0,0,4993
Laddie Lake,2009,7652,0,779,972,685,#N/A,#N/A,#N/A,0.75852498,0,0.07722046,0.096352102,0.067902458,10088
Lake Forest,2009,3625,0,0,4,88,0,0.65,0.171090909,0.975248857,0,0,0.001076137,0.023675007,3717
Lake of the Isles,2009,9669,0,8269,1122,477,#N/A,#N/A,#N/A,0.494907099,0,0.423248196,0.057429493,0.024415212,19537
Langdon Lake,2009,7246,4,484,38,82,#N/A,#N/A,#N/A,0.922587217,0.000509295,0.06162465,0.004838299,0.01044054,7854
Langton Lake,2009,1508,4,0,39,98,2,0.99,0.046307692,0.914493633,0.002425713,0,0.023650697,0.059429958,1649
Laura Lake,2009,4564,130,353,169,263,#N/A,#N/A,#N/A,0.832998722,0.023726957,0.064427815,0.030845045,0.04800146,5479
Lee Lake,2009,1026,0,135,2,0,4,3.476923077,0.022428571,0.882201204,0,0.116079106,0.00171969,0,1163
Legion Pond,2009,340,20,0,0,38,#N/A,0.381,0.058,0.854271357,0.050251256,0,0,0.095477387,398
Lemay Lake,2009,3920,0,446,163,72,3,1.494444444,0.048111111,0.851988698,0,0.096935449,0.035427081,0.015648772,4601
Levander Pond,2009,11707,0,648,101,457,#N/A,#N/A,#N/A,0.906605746,0,0.050181987,0.007821575,0.035390692,12913
Libbs Lake,2009,5706,0,77,30,56,#N/A,#N/A,#N/A,0.972226955,0,0.013119782,0.005111603,0.00954166,5869
Lily Lake,2009,2372,0,0,0,172,3,2.595833333,0.213684211,0.932389937,0,0,0,0.067610063,2544
Linwood Lake,2009,997,159,69,0,277,#N/A,#N/A,#N/A,0.663781625,0.105858855,0.045938748,0,0.184420772,1502
Lippert Lake,2009,218,427,0,4,12,#N/A,#N/A,#N/A,0.329803328,0.645990923,0,0.006051437,0.018154312,661
Little Carnelian Lake,2009,730,123,0,0,60,#N/A,6.879714286,0,0.799561884,0.134720701,0,0,0.065717415,913
Little Johanna Lake,2009,678,0,0,0,38,2,1.376923077,0.060538462,0.946927374,0,0,0,0.053072626,716
Little Long Lake,2009,309,19,8,0,0,4,4.273076923,0.014846154,0.919642857,0.056547619,0.023809524,0,0,336
Lochness Lake,2009,8022,168,287,232,358,2,1.783333333,0.033769231,0.884746884,0.018528731,0.031653248,0.025587295,0.039483843,9067
Lone Lake,2009,2189,0,173,111,109,3,2.586666667,0.030466667,0.847792409,0,0.067002324,0.04298993,0.042215337,2582
Long Lake,2009,15254,50,244,107,477,4,2.225479452,0.071630137,0.945574014,0.00309943,0.015125217,0.00663278,0.029568559,16132
Loon Lake,2009,112,25,0,0,29,0,0.587714286,0.156857143,0.674698795,0.15060241,0,0,0.174698795,166
Lost Lake,2009,5301,0,205,16,200,#N/A,#N/A,#N/A,0.926424327,0,0.035826634,0.002796225,0.034952814,5722
Lotus Lake,2009,3736,0,14,22,115,2,1.825454545,0.045545455,0.96115256,0,0.003601749,0.005659892,0.029585799,3887
Louise Lake,2009,82,39,0,0,19,1,1.480571429,0.163571429,0.585714286,0.278571429,0,0,0.135714286,140
Lucy Lake,2009,2312,2,8,0,84,2,1.6,0.045384615,0.960931006,0.000831255,0.003325021,0,0.034912718,2406
Lynch Lake,2009,112,41,0,0,0,0,0.217571429,0.460571429,0.732026144,0.267973856,0,0,0,153
MacDonald Lake,2009,163,75,0,0,4,#N/A,#N/A,#N/A,0.673553719,0.309917355,0,0,0.016528926,242
Magda Lake,2009,3806,0,352,243,16,1,0.505555556,0.112888889,0.861670817,0,0.079692099,0.055014716,0.003622368,4417
Marcott Lake,2009,2879,25,76,73,0,#N/A,#N/A,#N/A,0.943006878,0.008188667,0.024893547,0.023910907,0,3053
Maria Lake,2009,311,507,0,0,12,#N/A,#N/A,#N/A,0.374698795,0.610843373,0,0,0.014457831,830
Marion Lake,2009,9038,306,446,168,12,2,1.896666667,0.047866667,0.906519559,0.030692076,0.044734203,0.016850552,0.001203611,9970
Markgraf Lake,2009,1869,16,0,8,108,0,0.352307692,0.236769231,0.934032984,0.007996002,0,0.003998001,0.053973013,2001
Marsh Lake,2009,92,44,0,0,4,#N/A,#N/A,#N/A,0.657142857,0.314285714,0,0,0.028571429,140
Marshan Lake,2009,860,6,116,118,145,#N/A,#N/A,#N/A,0.690763052,0.004819277,0.093172691,0.094779116,0.116465863,1245
Martin Lake,2009,1672,208,307,0,178,#N/A,#N/A,#N/A,0.706976744,0.08794926,0.129809725,0,0.075264271,2365
Masterman Lake,2009,267,27,2,0,31,2,2.035857143,0.042785714,0.816513761,0.082568807,0.006116208,0,0.094801223,327
McCarrons Lake,2009,23320,10,0,437,1336,#N/A,#N/A,#N/A,0.928972633,0.000398359,0,0.017408278,0.053220731,25103
McDonald Lake,2009,589,21,0,0,22,2,1.842857143,0.049285714,0.931962025,0.033227848,0,0,0.034810127,632
McDonough Lake,2009,5323,0,35,0,4,#N/A,#N/A,#N/A,0.992726595,0,0.006527415,0,0.00074599,5362
McKnight Lake,2009,243,16,0,6,28,0,0.403571429,0.202916667,0.829351536,0.054607509,0,0.020477816,0.09556314,293
McKusick Lake,2009,3854,6,0,0,367,3,2.623428571,0.056214286,0.911757748,0.001419446,0,0,0.086822806,4227
Meadow Lake,2009,5624,0,396,184,66,#N/A,#N/A,#N/A,0.896969697,0,0.063157895,0.029346093,0.010526316,6270
Medicine Lake,2009,1534,0,74,46,25,#N/A,#N/A,#N/A,0.913639071,0,0.044073853,0.02739726,0.014889815,1679
Medina Lake,2009,3432,143,377,80,196,#N/A,#N/A,#N/A,0.811731315,0.033822138,0.089167455,0.018921476,0.046357616,4228
Mergens Pond,2009,1064,8,0,0,16,#N/A,0.457,0.14,0.977941176,0.007352941,0,0,0.014705882,1088
Meuwissen Lake,2009,335,113,0,2,16,#N/A,#N/A,#N/A,0.71888412,0.24248927,0,0.004291845,0.034334764,466
Miller Lake,2009,96,153,0,0,7,0,0.546428571,0.229428571,0.375,0.59765625,0,0,0.02734375,256
Minnetoga Lake,2009,3082,0,48,10,14,#N/A,#N/A,#N/A,0.977171845,0,0.01521877,0.003170577,0.004438808,3154
Minnetonka Lake,2009,501,0,15,0,12,#N/A,#N/A,#N/A,0.948863636,0,0.028409091,0,0.022727273,528
Minnewashta Lake,2009,3562,0,72,2,113,#N/A,#N/A,#N/A,0.950120032,0,0.019205121,0.000533476,0.030141371,3749
Mitchell Lake,2009,2744,0,56,24,82,2,1.642857143,0.051857143,0.944253269,0,0.019270475,0.008258775,0.028217481,2906
Mooney Lake,2009,7379,55,553,482,148,#N/A,#N/A,#N/A,0.856330509,0.006382732,0.064175467,0.055935941,0.017175351,8617
Moore Lake,2009,4639,0,182,60,551,#N/A,#N/A,#N/A,0.854013255,0,0.033505155,0.011045655,0.101435935,5432
Myers Lake,2009,64,107,0,8,6,#N/A,#N/A,#N/A,0.345945946,0.578378378,0,0.043243243,0.032432432,185
Nokomis Lake,2009,41829,0,7629,4765,4327,#N/A,#N/A,#N/A,0.71441503,0,0.13029889,0.081383433,0.073902647,58550
Normandale Lake,2009,6172,0,271,32,105,3,2.427272727,0.040727273,0.937993921,0,0.04118541,0.004863222,0.015957447,6580
North Twin Lake,2009,228,26,0,0,26,#N/A,1.023142857,0,0.814285714,0.092857143,0,0,0.092857143,280
Northwood Lake,2009,7970,0,296,270,58,1,1.05,0.214363636,0.927391203,0,0.034442634,0.031417268,0.006748895,8594
O'Connors Lake,2009,160,52,8,0,26,1,0.955555556,0.075,0.650406504,0.211382114,0.032520325,0,0.105691057,246
Oak Lake,2009,74,65,2,0,10,#N/A,#N/A,#N/A,0.490066225,0.430463576,0.013245033,0,0.066225166,151
Ohmans Lake,2009,1042,136,89,295,21,#N/A,#N/A,#N/A,0.658243841,0.085912824,0.056222363,0.186355022,0.013265951,1583
Olson Lake,2009,1642,11,0,0,52,4,3.228571429,0.018714286,0.963049853,0.006451613,0,0,0.030498534,1705
Oneka Lake,2009,1573,277,0,0,80,#N/A,#N/A,#N/A,0.815025907,0.143523316,0,0,0.041450777,1930
Orchard Lake,2009,1773,16,8,0,0,4,3.68,0.0174,0.986644407,0.008903728,0.004451864,0,0,1797
Otter Lake,2009,2139,59,0,25,179,#N/A,#N/A,#N/A,0.89050791,0.024562864,0,0.010407993,0.074521232,2402
Owasso Lake,2009,4231,0,0,6,252,#N/A,#N/A,#N/A,0.942526175,0,0,0.001336601,0.056137224,4489
Ox Yoke Lake,2009,455,83,39,0,0,#N/A,#N/A,#N/A,0.788561525,0.143847487,0.067590988,0,0,577
Pamela Pond,2009,3759,0,168,32,13,#N/A,#N/A,#N/A,0.946374622,0,0.042296073,0.008056395,0.00327291,3972
Parkers Lake,2009,6309,8,446,338,202,3,2.707142857,0.172571429,0.863891551,0.00109544,0.061070793,0.04628235,0.027659866,7303
Parley Lake,2009,1250,56,122,26,34,#N/A,#N/A,#N/A,0.840053763,0.037634409,0.081989247,0.017473118,0.022849462,1488
Patterson Lake,2009,68,75,0,0,3,#N/A,#N/A,#N/A,0.465753425,0.51369863,0,0,0.020547945,146
Peltier Lake,2009,1117,185,82,24,259,#N/A,#N/A,#N/A,0.670065987,0.110977804,0.049190162,0.014397121,0.155368926,1667
Penn Lake,2009,19432,2,1992,1224,107,0,0.253571429,0.230857143,0.85389111,8.7885E-05,0.087533506,0.053785648,0.00470185,22757
Peter Lake,2009,477,100,39,28,22,3,3.992307692,0.032846154,0.716216216,0.15015015,0.058558559,0.042042042,0.033033033,666
Phalen Lake,2009,25200,0,0,269,1701,#N/A,#N/A,#N/A,0.927493559,0,0,0.009900626,0.062605815,27170
Pickerel Lake,2009,2848,828,72,32,239,#N/A,#N/A,#N/A,0.708633989,0.206021398,0.017914904,0.00796218,0.059467529,4019
Pierson Lake,2009,347,48,0,0,14,#N/A,#N/A,#N/A,0.848410758,0.117359413,0,0,0.034229829,409
Pike Lake,2009,2896,0,13,31,109,1,1.075,0.070625,0.949819613,0,0.004263693,0.010167268,0.035749426,3049
Pine Tree Lake,2009,613,38,0,0,18,4,3.233333333,0.019166667,0.916292975,0.056801196,0,0,0.02690583,669
Plaisted Lake,2009,110,66,0,0,10,2,1.502142857,0.069,0.591397849,0.35483871,0,0,0.053763441,186
Pomerleau Lake,2009,8271,26,80,24,332,#N/A,#N/A,#N/A,0.947097217,0.002977213,0.009160655,0.002748196,0.038016718,8733
Powers Lake,2009,1008,0,0,0,98,3,2.503714286,0.381214286,0.911392405,0,0,0,0.088607595,1106
Priebe Lake,2009,5982,0,0,0,220,1,0.425,0.1349,0.964527572,0,0,0,0.035472428,6202
Raven Lake,2009,3365,38,135,0,2,#N/A,#N/A,#N/A,0.950564972,0.010734463,0.038135593,0,0.000564972,3540
